,resnet18,resnet34,resnet50,resnet101,resnet152,vgg19,vit_tiny,swin_tiny,convnext_v2_tiny
毒蝇鹅膏 (毒蝇伞),90.14%,94.37%,95.77%,94.37%,95.77%,92.96%,92.96%,95.77%,98.59%
赭盖鹅膏 (食褐鹅膏),88.68%,94.34%,90.57%,86.79%,86.79%,88.68%,92.45%,96.23%,98.11%
梨形皮马勃,82.26%,87.10%,83.87%,87.10%,80.65%,87.10%,77.42%,91.94%,85.48%
杯冠珊瑚菌,94.55%,100.00%,98.18%,96.36%,96.36%,94.55%,100.00%,100.00%,100.00%
美味牛肝菌,80.95%,79.37%,76.19%,79.37%,79.37%,71.43%,82.54%,84.13%,80.95%
鸡油菌,89.29%,88.10%,92.86%,91.67%,92.86%,85.71%,85.71%,89.29%,94.05%
宽鳞多孔菌,88.24%,91.18%,91.18%,85.29%,89.71%,89.71%,91.18%,98.53%,95.59%
晶粒小脆柄菇[1.1],87.67%,90.41%,91.78%,90.41%,87.67%,91.78%,91.78%,93.15%,98.63%
毛头鬼伞 (鸡腿菇),98.72%,94.87%,97.44%,97.44%,98.72%,98.72%,98.72%,98.72%,98.72%
粗糙拟迷宫菌,90.32%,85.48%,88.71%,93.55%,88.71%,88.71%,93.55%,93.55%,93.55%
金针菇 (冬菇),84.13%,82.54%,85.71%,84.13%,80.95%,90.48%,85.71%,92.06%,90.48%
桦剥管菌 (桦孔菌),97.33%,98.67%,96.00%,98.67%,98.67%,90.67%,96.00%,100.00%,98.67%
树舌灵芝,86.49%,91.89%,83.78%,87.84%,86.49%,85.14%,85.14%,90.54%,79.73%
大陀螺菌 (假羊肚菌),95.31%,95.31%,96.88%,93.75%,96.88%,98.44%,92.19%,96.88%,96.88%
分枝猴头菇,94.34%,92.45%,98.11%,96.23%,94.34%,98.11%,94.34%,96.23%,100.00%
假鸡油菌,85.96%,92.98%,91.23%,87.72%,89.47%,87.72%,85.96%,89.47%,91.23%
毛柄库恩菌,87.88%,89.39%,90.91%,87.88%,90.91%,93.94%,90.91%,96.97%,92.42%
橙盖疣柄牛肝菌,87.27%,85.45%,89.09%,90.91%,90.91%,85.45%,83.64%,85.45%,92.73%
网状马勃,93.75%,93.75%,93.75%,93.75%,95.31%,93.75%,96.88%,96.88%,96.88%
高大环柄菇,88.52%,93.44%,91.80%,88.52%,88.52%,90.16%,93.44%,88.52%,88.52%
止血扇菇,86.54%,84.62%,92.31%,92.31%,84.62%,92.31%,92.31%,96.15%,96.15%
卷缘网褶菌,82.81%,89.06%,85.94%,90.62%,96.88%,85.94%,85.94%,92.19%,95.31%
平菇 (侧耳),85.48%,80.65%,87.10%,88.71%,90.32%,83.87%,90.32%,93.55%,90.32%
晚生侧耳 (元蘑),59.26%,70.37%,66.67%,74.07%,70.37%,72.22%,72.22%,77.78%,75.93%
褐乳牛肝菌 (粘盖),78.12%,84.38%,85.94%,78.12%,82.81%,78.12%,81.25%,93.75%,92.19%
云芝 (彩绒革盖菌),95.65%,94.20%,92.75%,92.75%,91.30%,91.30%,89.86%,94.20%,94.20%
二型齿褶菌,77.78%,77.78%,81.48%,87.04%,87.04%,75.93%,79.63%,92.59%,94.44%
红网纹拟口蘑,84.62%,82.69%,92.31%,92.31%,86.54%,80.77%,90.38%,96.15%,96.15%
皱盖钟菌,94.20%,91.30%,94.20%,92.75%,95.65%,91.30%,98.55%,98.55%,98.55%
整体准确率,87.83%,89.14%,89.95%,89.84%,89.79%,88.32%,89.52%,93.54%,93.32%
