,resnet18,resnet34,resnet50,resnet101,resnet152,vgg19,vit_tiny,swin_tiny,convnext_v2_tiny
毒蝇鹅膏 (毒蝇伞),92.96%,91.55%,88.73%,90.14%,92.96%,94.37%,59.15%,91.55%,85.92%
赭盖鹅膏 (食褐鹅膏),62.26%,60.38%,47.17%,62.26%,64.15%,75.47%,28.30%,54.72%,22.64%
梨形皮马勃,69.35%,72.58%,62.90%,74.19%,74.19%,77.42%,30.65%,61.29%,50.00%
杯冠珊瑚菌,85.45%,90.91%,94.55%,89.09%,90.91%,90.91%,52.73%,90.91%,78.18%
美味牛肝菌,63.49%,60.32%,53.97%,63.49%,61.90%,74.60%,34.92%,66.67%,44.44%
鸡油菌,72.62%,84.52%,72.62%,80.95%,79.76%,85.71%,51.19%,79.76%,71.43%
宽鳞多孔菌,85.29%,77.94%,75.00%,83.82%,77.94%,83.82%,38.24%,72.06%,50.00%
晶粒小脆柄菇[1.1],82.19%,73.97%,73.97%,78.08%,78.08%,82.19%,28.77%,69.86%,35.62%
毛头鬼伞 (鸡腿菇),89.74%,93.59%,96.15%,93.59%,97.44%,96.15%,61.54%,89.74%,76.92%
粗糙拟迷宫菌,59.68%,50.00%,56.45%,56.45%,67.74%,80.65%,24.19%,50.00%,33.87%
金针菇 (冬菇),53.97%,66.67%,68.25%,68.25%,71.43%,74.60%,31.75%,65.08%,58.73%
桦剥管菌 (桦孔菌),78.67%,81.33%,82.67%,92.00%,82.67%,89.33%,41.33%,78.67%,60.00%
树舌灵芝,71.62%,71.62%,74.32%,75.68%,75.68%,79.73%,28.38%,66.22%,44.59%
大陀螺菌 (假羊肚菌),89.06%,90.62%,93.75%,92.19%,90.62%,92.19%,56.25%,82.81%,78.12%
分枝猴头菇,88.68%,90.57%,90.57%,96.23%,94.34%,90.57%,62.26%,75.47%,71.70%
假鸡油菌,82.46%,75.44%,84.21%,82.46%,84.21%,91.23%,59.65%,84.21%,56.14%
毛柄库恩菌,83.33%,87.88%,78.79%,81.82%,86.36%,81.82%,50.00%,65.15%,51.52%
橙盖疣柄牛肝菌,69.09%,72.73%,70.91%,69.09%,69.09%,78.18%,32.73%,60.00%,49.09%
网状马勃,76.56%,84.38%,79.69%,87.50%,90.62%,87.50%,39.06%,79.69%,64.06%
高大环柄菇,70.49%,68.85%,70.49%,75.41%,77.05%,85.25%,37.70%,63.93%,59.02%
止血扇菇,69.23%,73.08%,67.31%,76.92%,78.85%,75.00%,30.77%,57.69%,48.08%
卷缘网褶菌,60.94%,68.75%,54.69%,65.62%,70.31%,73.44%,12.50%,57.81%,43.75%
平菇 (侧耳),66.13%,66.13%,53.23%,66.13%,62.90%,74.19%,12.90%,59.68%,25.81%
晚生侧耳 (元蘑),37.04%,42.59%,42.59%,40.74%,42.59%,46.30%,22.22%,46.30%,22.22%
褐乳牛肝菌 (粘盖),59.38%,65.62%,65.62%,62.50%,60.94%,70.31%,20.31%,53.12%,39.06%
云芝 (彩绒革盖菌),88.41%,86.96%,92.75%,91.30%,95.65%,94.20%,27.54%,85.51%,57.97%
二型齿褶菌,87.04%,74.07%,74.07%,72.22%,72.22%,83.33%,29.63%,64.81%,50.00%
红网纹拟口蘑,69.23%,75.00%,69.23%,78.85%,78.85%,82.69%,53.85%,73.08%,55.77%
皱盖钟菌,79.71%,84.06%,78.26%,89.86%,89.86%,92.75%,71.01%,85.51%,71.01%
整体准确率,74.42%,75.83%,73.44%,77.73%,78.44%,82.67%,39.27%,70.72%,54.32%
